Rank, Title, Author, Rating ( out of 5 ), Edition, Price
1.,The Neon Lawyer,Victor Methos,4.3,Kindle Edition,$1.99
2.,P.S. from Paris (US edition),Marc Levy,4.2,Kindle Edition,$4.99
3.,The Next Always: Inn BoonsBoro Trilogy! Book 1,Nora Roberts,4.5,Audible Audio Edition,$0.00 with Trial
4.,The Lighthouse Keeper,Cynthia Ellingsen,4.6,Kindle Edition,$1.99
5.,Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.8,Kindle Edition,$1.99
6.,All the Little Children,Jo Furniss,4.1,Kindle Edition,$4.99
7.,When I'm Gone: A Novel,Emily Bleeker,4.3,Kindle Edition,$1.99
8.,The Butterfly Effect with Jon Ronson,Jon Ronson,4.2,Audible Audio Edition,$0.00 with Trial
9.,When They Come for You (Harper McDaniel Book 1),James W. Hall,4.2,Kindle Edition,$4.99
10.,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.7,Kindle Edition,$8.99
11.,Wheat Belly: Lose the Wheat! Lose the Weight! and Find Your Path Back to Health,William Davis MD,4.4,Kindle Edition,$8.42
12.,Final Approach,John J. Nance,4.3,Kindle Edition,$0.56
13.,Kingpin,Alexa Riley,4.9,Kindle Edition,$0.99
14.,A Shade of Vampire 48: A Tip of Balance,Bella Forrest,4.3,Kindle Edition,$3.99
15.,Three Brides! No Groom,Debbie Macomber,4.4,Kindle Edition,$0.99
16.,From Sand and Ash,Amy Harmon,4.7,Kindle Edition,$4.99
17.,The Barefoot Summer,Carolyn Brown,4.3,Kindle Edition,$0.99
18.,NO EXIT a gripping thriller full of heart-stopping twists,TAYLOR ADAMS,4.6,Kindle Edition,$2.99
19.,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,4.7,Hardcover,$10.80
20.,Little Boy Lost,J. D. Trafford,4.3,Kindle Edition,$4.99
